original,standard
北京师范大学(跨校),北京师范大学
华北电力大学（北京）,华北电力大学(北京)
中国地质大学（北京）,中国地质大学(北京)
电信科学技术研究院（第一研究所）,电信科学技术研究院(第一研究所)
河海大学（常州校区）,河海大学(常州)
河海大学常州校区,河海大学(常州)
华北电力大学（保定）,华北电力大学(保定)
机械科学研究院（北京机电研究所）,机械科学研究院(北京机电研究所)
机械科学研究院（上海材料研究所）,机械科学研究院(上海材料研究所)
空军勤务学院（徐州）,空军勤务学院(徐州)
煤炭科学研究总院（上海分院）,煤炭科学研究总院(上海分院)
煤炭科学研究总院上海分院,煤炭科学研究总院(上海分院)
山东大学（威海）,山东大学(威海)
山东大学威海分校,山东大学(威海)
山东大学威海校区,山东大学(威海)
陕西科技非常丰富,陕西科技大学
上海航天技术研究院（航天八院）,上海航天技术研究院(航天八院)
上海核工程研究设计院与清华大学工程物理系,上海核工程研究设计院
西安航天科技工业总公司16所,西安航天科技工业总公司(16所)
西安微电子技术研究所（航天771所）,西安微电子技术研究所(航天771所)
西安微电子技术研究所,西安微电子技术研究所(航天771所)
西北大学（美国）,西北大学(美国)
香港中文大学（深圳）,香港中文大学(深圳)
中北大学研究生院,中北大学
中国兵器科学研究院（中国北方车辆研究所）,中国兵器科学研究院(中国北方车辆研究所)
中国地质大学（武汉）,中国地质大学(武汉)
中国工程物理研究院（北京应用物理与计算数学研究所,中国工程物理研究院
中国工程物理研究院研究生院,中国工程物理研究院
中国航空研究院601研究所,中国航空研究院601所
中国航空研究院602研究所,中国航空研究院602所
中国航空研究院606研究所,中国航空研究院606所
中国航空研究院609研究所,中国航空研究院609所
中国航空研究院第609研究所,中国航空研究院609所
中国航空研究院六一三研究所,中国航空研究院613所
中国航天二院研究生院,中国航天二院
中国航天科工集团公司第二研究院（17所）,中国航天科工集团公司第二研究院(17所)
中国航天科工集团公司第二研究院（206所）,中国航天科工集团公司第二研究院(206所)
中国航天科工集团公司第二研究院（23所）,中国航天科工集团公司第二研究院(23所)
中国航天科工集团公司第二研究院（25所）,中国航天科工集团公司第二研究院(25所)
中国航天科工集团公司第二研究院（706所）,中国航天科工集团公司第二研究院(706所)
中国航天科工集团公司第二研究院（710所）,中国航天科工集团公司第二研究院(710所)
中国航天科工集团公司第三研究院（33所）,中国航天科工集团公司第三研究院(33所)
中国航天科工集团公司第三研究院（35所）,中国航天科工集团公司第三研究院(35所)
中国航天科工集团公司第三研究院（8358所）,中国航天科工集团公司第三研究院(8358所)
中国航天科工集团公司第三研究院（第三总体设计部）,中国航天科工集团公司第三研究院(第三总体设计部)
中国航天科技集团公司第二研究院（第二总体设计部）,中国航天科技集团公司第二研究院(第二总体设计部)
中国航天科技集团公司第六研究院（11所）,中国航天科技集团公司第六研究院(11所)
中国航天科技集团公司第六研究院（北京11所）,中国航天科技集团公司第六研究院(北京11所)
中国航天科技集团公司第五研究院（511 所）,中国航天科技集团公司第五研究院(511 所)
中国航天科技集团公司第一研究院（12所）,中国航天科技集团公司第一研究院(12所)
中国航天科技集团公司第一研究院（14所）,中国航天科技集团公司第一研究院(14所)
中国航天科技集团公司第一研究院（15所）,中国航天科技集团公司第一研究院(15所)
中国航天科技集团公司第一研究院（18所）,中国航天科技集团公司第一研究院(18所)
中国航天科技集团公司第一研究院（703所）,中国航天科技集团公司第一研究院(703所)
中国航天科技集团公司航天时代电子公司（13所）,中国航天科技集团公司航天时代电子公司(13所)
中国航天科技集团公司航天时代电子公司（704所）,中国航天科技集团公司航天时代电子公司(704所)
中国航天科技集团公司六院十一所,中国航天科技集团有限公司第六研究院第十一所
中国舰船研究设计中心,中国舰船研究设计中心(701所)
中国舰船研究院（上海船舶设备研究所）,中国舰船研究院(上海船舶设备研究所)
声学所,中国科学院声学研究所
中国科学院研究生院,中国科学院
中国科学院研究生院\北京林业大学,中国科学院
中国空间技术研究院(航天五院),中国空间技术研究院
中国矿业大学（北京）,中国矿业大学(北京)
中国矿业大学（徐州）,中国矿业大学(徐州)
中国石油大学（北京）,中国石油大学(北京)
中国石油大学（华东）,中国石油大学(华东)
中国石油大学（华东）研究生院,中国石油大学(华东)
重庆地区地质灾害防治工程技术研究中心,重庆地质灾害防治工程技术研究中心
太原科技大学研究生院,太原科技大学
哈尔滨工业大学深圳校区,哈尔滨工业大学(深圳)
哈尔滨工业大学深圳研究生院,哈尔滨工业大学(深圳)
海军航空工程学院（青岛分院）,海军航空工程学院(青岛)
海军航空工程学院青岛分院,海军航空工程学院(青岛)
东北大学秦皇岛分校,东北大学(秦皇岛)
炮兵学院南京分院,中国人民解放军炮兵学院(南京)
煤炭科学研究总院(上海分院),煤炭科学研究总院(上海)
解放军炮兵学院南京分院,中国人民解放军炮兵学院(南京)
中国人民解放军炮兵学院南京分院,中国人民解放军炮兵学院(南京)
军事科学院,中国人民解放军军事科学院
军事经济学院,中国人民解放军军事经济学院
军械工程学院,中国人民解放军军械工程学院
军事交通学院,中国人民解放军军事交通学院
半导体所,中国科学院半导体研究所
哈尔滨工业大学（威海校区）,哈尔滨工业大学(威海校区)
声学研究所东海研究站,中科院声学研究所东海研究站
空军航空大学,中国人民解放军空军航空大学
装备学院,中国人民解放军装备学院
解放军后勤工程学院,中国人民解放军后勤工程学院
中国人民解放军西安通信学院,解放军西安通信学院
