T_id,Sig,Unit
7247,S_unit,
529,C_unit,三峡大学
37455,F_unit,上海中医药大学
177,C_unit,上海交通大学
19686,F_unit,上海体育学院
36006,F_unit,上海内燃机研究所
39317,C_unit,上海化工研究院
22596,C_unit,上海发电设备成套设计研究院
35189,C_unit,上海国家会计学院
15578,C_unit,上海外国语大学
353,C_unit,上海大学
9048,C_unit,上海大学悉尼工商学院
4519,C_unit,上海对外经贸大学
1350,C_unit,上海工程技术大学
19146,C_unit,上海市计算技术研究所
66,C_unit,上海师范大学
8213,C_unit,上海应用技术大学
8689,C_unit,上海技术物理研究所
52278,C_unit,上海政法学院
71973,F_unit,上海无线电设备研究所
19022,C_unit,上海材料研究所
1006,C_unit,上海核工程研究设计院
1216,C_unit,上海海事大学
1443,C_unit,上海海洋大学
6,C_unit,上海理工大学
47122,C_unit,上海生物制品研究所
3492,C_unit,上海电力大学
8685,C_unit,上海电机学院
3048,C_unit,上海社会科学院
10611,C_unit,上海科技大学
8672,C_unit,上海立信会计金融学院
29972,C_unit,上海第二工业大学
5503,C_unit,上海航天技术研究院(航天八院)
21761,C_unit,上海船舶设备研究所
22333,C_unit,上海船舶运输科学研究所
743,C_unit,上海财经大学
59655,S_unit,东京大学
412,C_unit,东北农业大学
73,C_unit,东北大学
39156,C_unit,东北大学(秦皇岛)
8503,C_unit,东北师范大学
1684,C_unit,东北林业大学
83,C_unit,东北电力大学
702,C_unit,东北石油大学
7580,C_unit,东北财经大学
7,C_unit,东华大学
8631,C_unit,东华理工大学
17,C_unit,东南大学
94109,C_unit,东莞理工学院
44653,S_unit,中共上海市委党校
162,C_unit,中北大学
152,C_unit,中南大学
17733,C_unit,中南林业科技大学
1529,C_unit,中南民族大学
334,C_unit,中南财经政法大学
2630,C_unit,中原工学院
20293,C_unit,中国人民公安大学
814,C_unit,中国人民大学
21078,C_unit,中国人民武装警察部队后勤学院
2021,C_unit,中国人民武装警察部队学院
1537,C_unit,中国人民武装警察部队工程大学
8505,C_unit,中国人民解放军军事交通学院
9633,C_unit,中国人民解放军军事科学院
638,C_unit,中国人民解放军军事经济学院
19452,C_unit,中国人民解放军军械工程学院
1146,C_unit,中国人民解放军后勤工程学院
19158,C_unit,中国人民解放军国防大学
1456,C_unit,中国人民解放军国防大学联合作战学院
30,C_unit,中国人民解放军国防科技大学
1446,C_unit,中国人民解放军国防科技大学信息通信学院
833,C_unit,中国人民解放军国防科技大学电子对抗学院
1255,C_unit,中国人民解放军国防科技大学西安通信学院
13555,S_unit,中国人民解放军总参第五十八研究所
7335,C_unit,中国人民解放军总参第五十六研究所
50,C_unit,中国人民解放军战略支援部队信息工程大学
28928,C_unit,中国人民解放军战略支援部队航天工程大学
22318,C_unit,中国人民解放军海军军医大学
9612,C_unit,中国人民解放军海军大连舰艇学院
465,C_unit,中国人民解放军海军工程大学
10721,C_unit,中国人民解放军海军指挥学院
527,C_unit,中国人民解放军海军航空大学
468,C_unit,中国人民解放军海军航空大学(青岛)
19704,C_unit,中国人民解放军海军装备研究院
485,C_unit,中国人民解放军火箭军工程大学
578,C_unit,中国人民解放军炮兵学院(南京)
466,C_unit,中国人民解放军电子工程学院
19442,C_unit,中国人民解放军空军军医大学
150,C_unit,中国人民解放军空军勤务学院
4811,C_unit,中国人民解放军空军勤务学院(徐州)
525,C_unit,中国人民解放军空军工程大学
207,C_unit,中国人民解放军空军航空大学
9626,C_unit,中国人民解放军空军预警学院
827,C_unit,中国人民解放军蚌埠坦克学院
7039,C_unit,中国人民解放军装备学院
9634,C_unit,中国人民解放军防化研究院
19436,C_unit,中国人民解放军陆军军医大学
1448,C_unit,中国人民解放军陆军勤务学院
87,C_unit,中国人民解放军陆军工程大学
