Unit,Country,Province
,@无数据,@无数据
上海无线电设备研究所,中国,上海
中国科学院上海光学精密机械研究所,中国,上海
中国科学院上海有机化学研究所,中国,上海
煤炭科学研究总院(上海分院),中国,上海
中国航天科技集团公司第八研究院,中国,上海
中国人民解放军海军军医大学,中国,上海
上海中医药大学,中国,上海
上海交通大学,中国,上海
上海体育学院,中国,上海
上海内燃机研究所,中国,上海
上海化工研究院,中国,上海
上海发电设备成套设计研究院,中国,上海
上海国家会计学院,中国,上海
上海国际问题研究院,中国,上海
上海外国语大学,中国,上海
上海大学,中国,上海
上海大学悉尼工商学院,中国,上海
上海对外经贸大学,中国,上海
上海对外贸易学院,中国,上海
上海工程技术大学,中国,上海
上海市计算技术研究所,中国,上海
上海师范大学,中国,上海
上海应用技术大学,中国,上海
上海应用技术学院,中国,上海
上海戏剧学院,中国,上海
上海技术物理研究所,中国,上海
上海政法学院,中国,上海
上海材料研究所,中国,上海
上海核工程研究设计院,中国,上海
上海海事大学,中国,上海
上海海关学院,中国,上海
上海海洋大学,中国,上海
上海理工大学,中国,上海
上海生物制品研究所,中国,上海
上海电力大学,中国,上海
上海电力学院,中国,上海
上海电机学院,中国,上海
上海社会科学院,中国,上海
上海科技大学,中国,上海
上海立信会计学院,中国,上海
上海立信会计金融学院,中国,上海
上海第二工业大学,中国,上海
上海航天技术研究院(航天八院),中国,上海
上海船用柴油机研究所,中国,上海
上海船舶电子设备研究所,中国,上海
上海船舶设备研究所,中国,上海
上海船舶运输科学研究所,中国,上海
上海财经大学,中国,上海
上海音乐学院,中国,上海
东华大学,中国,上海
中共上海市委党校,中国,上海
中国医药工业研究总院,中国,上海
中国商飞上海飞机设计研究院,中国,上海
中国科学院上海天文台,中国,上海
中国科学院上海应用物理研究所,中国,上海
中国科学院上海微系统与信息技术研究所,中国,上海
中国科学院上海技术物理研究所,中国,上海
中国科学院上海生命科学研究院,中国,上海
中国科学院上海硅酸盐研究所,中国,上海
中国科学院上海高等研究院,中国,上海
中国科学院声学所东海研究站,中国,上海
中国科学院声学研究所东海研究站,中国,上海
中国航天科技集团有限公司第八研究院,中国,上海
中国航空研究院640所,中国,上海
中国舰船研究院(上海船舶设备研究所),中国,上海
中国船舶及海洋工程设计研究院,中国,上海
中科院上海微系统与信息技术研究所,中国,上海
中科院上海有机化学研究所,中国,上海
中科院声学研究所东海研究站,中国,上海
华东师范大学,中国,上海
华东政法大学,中国,上海
华东理工大学,中国,上海
华东计算技术研究所,中国,上海
同济大学,中国,上海
复旦大学,中国,上海
机械科学研究总院上海材料研究所,中国,上海
海军军医大学,中国,上海
煤炭科学研究总院(上海),中国,上海
电信科学技术研究院(第一研究所),中国,上海
电信科学技术第一研究所(上海),中国,上海
第二军医大学,中国,上海
上海空间电源研究所,中国,上海
云南中医药大学,中国,云南
云南农业大学,中国,云南
云南大学,中国,云南
云南师范大学,中国,云南
云南民族大学,中国,云南
云南艺术学院,中国,云南
云南警官学院,中国,云南
云南财经大学,中国,云南
大理大学,中国,云南
大理学院,中国,云南
昆明医科大学,中国,云南
昆明学院,中国,云南
昆明物理研究所(211所),中国,云南
昆明理工大学,中国,云南
昆明贵金属研究所,中国,云南
桂林电子工业学院,中国,云南
西南林业大学,中国,云南
内蒙古农业大学,中国,内蒙古
内蒙古医科大学,中国,内蒙古
内蒙古大学,中国,内蒙古
内蒙古工业大学,中国,内蒙古
内蒙古师范大学,中国,内蒙古
内蒙古民族大学,中国,内蒙古
内蒙古科技大学,中国,内蒙古
内蒙古艺术学院,中国,内蒙古
内蒙古财经大学,中国,内蒙古
内蒙古财经学院,中国,内蒙古
内蒙古金属材料研究所(52所),中国,内蒙古
赤峰学院,中国,内蒙古
中国航天科技集团公司第十二研究院,中国,北京
中国工程物理研究院（北京应用物理与计算数学研究所）,中国,北京
中国科学院科技政策与管理科学研究所,中国,北京
中国航天科工集团公司第二研究院(207所),中国,北京
机械科学研究总院,中国,北京
煤炭科学研究总院(北京开采所),中国,北京
中国人民解放军陆军装甲兵学院,中国,北京
中国人民解放军防化研究院,中国,北京
中国人民解放军海军装备研究院,中国,北京
中国航天科技集团第十二研究院,中国,北京
中国人民解放军陆军防化学院,中国,北京
中国科学院高能物理研究所,中国,北京
中国工程物理研究院(北京应用物理与计算数学研究所),中国,北京
中国航天科技集团公司第五研究院(511所),中国,北京
中共中央党校(国家行政学院),中国,北京
中共北京市委党校,中国,北京
中冶建筑研究总院有限公司,中国,北京
中华女子学院,中国,北京
中国中医科学院,中国,北京
中国人民公安大学,中国,北京
中国人民大学,中国,北京
中国人民解放军军事科学院,中国,北京
中国人民解放军国防大学,中国,北京
中国人民解放军总参第五十八研究所,中国,北京
