Unit,Country,Province,City
,@无数据,@无数据,@无数据
三亚学院,中国,海南,三亚市
三峡大学,中国,湖北,宜昌市
上海中医药大学,中国,上海,上海市
上海交通大学,中国,上海,上海市
上海体育学院,中国,上海,上海市
上海内燃机研究所,中国,上海,上海市
上海化工研究院,中国,上海,上海市
上海卫星工程研究所,中国,上海,上海市
上海发电设备成套设计研究院,中国,上海,上海市
上海国家会计学院,中国,上海,上海市
上海外国语大学,中国,上海,上海市
上海大学,中国,上海,上海市
上海大学悉尼工商学院,中国,上海,上海市
上海对外经贸大学,中国,上海,上海市
上海工程技术大学,中国,上海,上海市
上海市计算技术研究所,中国,上海,上海市
上海师范大学,中国,上海,上海市
上海应用技术大学,中国,上海,上海市
上海技术物理研究所,中国,上海,上海市
上海政法学院,中国,上海,上海市
上海无线电设备研究所,中国,上海,上海市
上海材料研究所,中国,上海,上海市
上海核工程研究设计院,中国,上海,上海市
上海海事大学,中国,上海,上海市
上海海关学院,中国,上海,上海市
上海海洋大学,中国,上海,上海市
上海理工大学,中国,上海,上海市
上海生物制品研究所,中国,上海,上海市
上海电力大学,中国,上海,上海市
上海电机学院,中国,上海,上海市
上海社会科学院,中国,上海,上海市
上海科技大学,中国,上海,上海市
上海空间电源研究所,中国,上海,上海市
上海立信会计金融学院,中国,上海,上海市
上海第二工业大学,中国,上海,上海市
上海船舶设备研究所,中国,上海,上海市
上海船舶运输科学研究所,中国,上海,上海市
上海财经大学,中国,上海,上海市
东京大学,日本,东京都,东京
东北农业大学,中国,黑龙江,哈尔滨市
东北大学,中国,辽宁,沈阳市
东北大学(秦皇岛),中国,河北,秦皇岛市
东北师范大学,中国,吉林,长春市
东北林业大学,中国,黑龙江,哈尔滨市
东北电力大学,中国,吉林,吉林市
东北石油大学,中国,黑龙江,大庆市
东北财经大学,中国,辽宁,大连市
东华大学,中国,上海,上海市
东华理工大学,中国,江西,抚州市
东南大学,中国,江苏,南京市
东莞理工学院,中国,广东,东莞市
中共上海市委党校,中国,上海,上海市
中北大学,中国,山西,太原市
中南大学,中国,湖南,长沙市
中南林业科技大学,中国,湖南,长沙市
中南民族大学,中国,湖北,武汉市
中南财经政法大学,中国,湖北,武汉市
中原工学院,中国,河南,郑州市
中国人民公安大学,中国,北京,北京市
中国人民大学,中国,北京,北京市
中国人民武装警察部队后勤学院,中国,天津,天津市
中国人民武装警察部队工程大学,中国,陕西,西安市
中国人民解放军军事交通学院,中国,天津,天津市
中国人民解放军军事科学院,中国,北京,北京市
中国人民解放军军事经济学院,中国,重庆,重庆市
中国人民解放军军械工程学院,中国,河北,石家庄市
中国人民解放军后勤工程学院,中国,河南,新乡市
中国人民解放军国防大学,中国,北京,北京市
中国人民解放军国防大学联合作战学院,中国,河北,石家庄市
中国人民解放军国防科技大学,中国,湖南,长沙市
中国人民解放军国防科技大学信息通信学院,中国,湖北,武汉市
中国人民解放军国防科技大学电子对抗学院,中国,安徽,合肥市
中国人民解放军国防科技大学西安通信学院,中国,陕西,西安市
中国人民解放军总参第五十八研究所,中国,北京,北京市
中国人民解放军总参第五十六研究所,中国,江苏,无锡市
中国人民解放军战略支援部队信息工程大学,中国,河南,郑州市
中国人民解放军战略支援部队航天工程大学,中国,北京,北京市
中国人民解放军海军军医大学,中国,上海,上海市
中国人民解放军海军大连舰艇学院,中国,辽宁,大连市
中国人民解放军海军工程大学,中国,湖北,武汉市
中国人民解放军海军指挥学院,中国,江苏,南京市
中国人民解放军海军航空大学,中国,山东,烟台市
中国人民解放军海军航空大学(青岛),中国,山东,青岛市
中国人民解放军海军装备研究院,中国,北京,北京市
中国人民解放军火箭军工程大学,中国,陕西,西安市
中国人民解放军炮兵学院(南京),中国,江苏,南京市
中国人民解放军电子工程学院,中国,安徽,合肥市
中国人民解放军空军军医大学,中国,陕西,西安市
中国人民解放军空军勤务学院,中国,江苏,徐州市
中国人民解放军空军哈尔滨飞行学院,中国,黑龙江,哈尔滨
中国人民解放军空军工程大学,中国,陕西,西安市
中国人民解放军空军航空大学,中国,吉林,长春市
中国人民解放军空军预警学院,中国,湖北,武汉市
中国人民解放军蚌埠坦克学院,中国,安徽,蚌埠市
中国人民解放军装备学院,中国,北京,北京市
中国人民解放军防化研究院,中国,北京,北京市
中国人民解放军陆军军医大学,中国,重庆,重庆市
中国人民解放军陆军勤务学院,中国,重庆,重庆市
中国人民解放军陆军工程大学,中国,江苏,南京市
中国人民解放军陆军指挥学院,中国,江苏,南京市
中国人民解放军陆军炮兵防空兵学院,中国,安徽,合肥市
中国人民解放军陆军装甲兵学院,中国,北京,北京市
中国人民解放军陆军防化学院,中国,北京,北京市
中国人民警察大学,中国,北京,北京市
中国传媒大学,中国,北京,北京市
中国兵器科学研究院,中国,北京,北京市
中国兵器科学研究院(中国北方自动控制技术研究所),中国,山西,太原市
中国兵器科学研究院(中国北方车辆研究所),中国,北京,北京市
中国兵器科学研究院(西南自动化研究所),中国,四川,绵阳市
中国农业大学,中国,北京,北京市
中国农业科学院,中国,北京,北京市
中国刑事警察学院,中国,辽宁,沈阳市
中国北方车辆研究所,中国,北京,北京市
中国医科大学,中国,辽宁,沈阳市
中国原子能科学研究院,中国,北京,北京市
中国商飞上海飞机设计研究院,中国,上海,上海市
中国国防科技信息中心,中国,北京,北京市
中国地质大学(北京),中国,北京,北京市
中国地质大学(武汉),中国,湖北,武汉市
中国地质大学长城学院,中国,河北,保定市
中国地震局兰州地震研究所,中国,甘肃,兰州市
中国地震局地球物理研究所,中国,北京,北京市
中国地震局地质研究所,中国,北京,北京市
中国地震局地震研究所,中国,湖北,武汉市
中国地震局地震预测研究所,中国,北京,北京市
中国地震局工程力学研究所,中国,黑龙江,哈尔滨
中国工程物理研究院,中国,北京,北京市
中国工程物理研究院(化工材料研究所),中国,四川,绵阳市
中国工程物理研究院(北京应用物理与计算数学研究所),中国,北京,北京市
中国工程物理研究院(四川计算机应用研究所),中国,四川,绵阳市
中国建筑材料科学研究总院,中国,北京,北京市
中国政法大学,中国,北京,北京市
中国林业科学研究院,中国,北京,北京市
中国核动力研究设计院,中国,四川,成都市
中国民用航空飞行学院,中国,四川,广汉市
中国民航大学,中国,天津,天津市
中国气象科学研究院,中国,北京,北京市
中国测绘科学研究院,中国,北京,北京市
中国海洋大学,中国,山东,青岛市
中国环境科学研究院,中国,北京,北京市
中国电力科学研究院,中国,北京,北京市
中国电子科技集团公司电子科学研究院,中国,北京,北京市
中国电子科技集团公司第十四研究所,中国,江苏,南京市
中国石油勘探开发研究院,中国,北京,北京市
中国石油大学(北京),中国,北京,北京市
中国石油大学(华东),中国,山东,青岛市
中国矿业大学,中国,江苏,徐州市
中国矿业大学(北京),中国,北京,北京市
中国矿业大学(徐州),中国,江苏,徐州市
中国社会科学院大学,中国,北京,北京市
中国科学技术信息研究所,中国,北京,北京市
中国科学技术大学,中国,安徽,合肥市
中国科学院上海光学精密机械研究所,中国,上海,上海市
中国科学院上海天文台,中国,上海,上海市
中国科学院上海应用物理研究所,中国,上海,上海市
中国科学院上海微系统与信息技术研究所,中国,上海,上海市
中国科学院上海技术物理研究所,中国,上海,上海市
中国科学院上海有机化学研究所,中国,上海,上海市
中国科学院上海生命科学研究院,中国,上海,上海市
中国科学院上海硅酸盐研究所,中国,上海,上海市
中国科学院上海高等研究院,中国,上海,上海市
中国科学院信息工程研究所,中国,北京,北京市
中国科学院光电技术研究所,中国,四川,成都市
中国科学院光电研究院,中国,北京,北京市
中国科学院力学研究所,中国,北京,北京市
